"Sensor","Date_Time","Date","Time","Count"
"Collins Place (South)",2020-07-01 02:00:00,2020-07-01,2,1
"Collins Place (North)",2020-07-01 02:00:00,2020-07-01,2,3
"Chinatown-Swanston St (North)",2020-07-01 02:00:00,2020-07-01,2,54
"Chinatown-Lt Bourke St (South)",2020-07-01 02:00:00,2020-07-01,2,6
"Bourke St-Russell St (West)",2020-07-01 02:00:00,2020-07-01,2,NA
"Flinders St-Elizabeth St (East)",2020-07-01 02:00:00,2020-07-01,2,23
"Spencer St-Collins St (South)",2020-07-01 02:00:00,2020-07-01,2,2
"Spencer St-Collins St (North)",2020-07-01 02:00:00,2020-07-01,2,7
"Melbourne Convention Exhibition Centre",2020-07-01 02:00:00,2020-07-01,2,4
"QV Market-Elizabeth St (West)",2020-07-01 02:00:00,2020-07-01,2,52
"QV Market-Peel St",2020-07-01 02:00:00,2020-07-01,2,5
"The Arts Centre",2020-07-01 02:00:00,2020-07-01,2,10
"St Kilda Rd-Alexandra Gardens",2020-07-01 02:00:00,2020-07-01,2,1
"Lonsdale St (South)",2020-07-01 02:00:00,2020-07-01,2,26
"Lygon St (West)",2020-07-01 02:00:00,2020-07-01,2,15
"City Square",2020-07-01 02:00:00,2020-07-01,2,NA
"Flinders St-Spring St (West)",2020-07-01 02:00:00,2020-07-01,2,NA
"Flinders St-Spark La",2020-07-01 02:00:00,2020-07-01,2,1
"Southbank",2020-07-01 02:00:00,2020-07-01,2,1
"Queen St (West)",2020-07-01 02:00:00,2020-07-01,2,6
"Lygon St (East)",2020-07-01 02:00:00,2020-07-01,2,1
"Alfred Place",2020-07-01 02:00:00,2020-07-01,2,NA
"Lonsdale St-Spring St (West)",2020-07-01 02:00:00,2020-07-01,2,2
"Grattan St-Swanston St (West)",2020-07-01 02:00:00,2020-07-01,2,7
"Monash Rd-Swanston St (West)",2020-07-01 02:00:00,2020-07-01,2,NA
"Tin Alley-Swanston St (West)",2020-07-01 02:00:00,2020-07-01,2,NA
"Little Collins St-Swanston St (East)",2020-07-01 02:00:00,2020-07-01,2,14
"Flinders La-Swanston St (West)",2020-07-01 02:00:00,2020-07-01,2,35
"Pelham St (South)",2020-07-01 02:00:00,2020-07-01,2,NA
"Melbourne Central-Elizabeth St (East)",2020-07-01 02:00:00,2020-07-01,2,27
"QVM-Queen St (East)",2020-07-01 02:00:00,2020-07-01,2,3
"QVM-Therry St (South)",2020-07-01 02:00:00,2020-07-01,2,60
"Faraday St-Lygon St (West)",2020-07-01 02:00:00,2020-07-01,2,1
"QVM-Franklin St (North)",2020-07-01 02:00:00,2020-07-01,2,9
"Elizabeth St-Lonsdale St (South)",2020-07-01 02:00:00,2020-07-01,2,2
"Lincoln-Swanston (W)",2020-07-01 02:00:00,2020-07-01,2,NA
"Elizabeth St-La Trobe St (East)",2020-07-01 02:00:00,2020-07-01,2,NA
"Lonsdale St - Elizabeth St (North)",2020-07-01 02:00:00,2020-07-01,2,11
"Bourke St Bridge",2020-07-01 02:00:00,2020-07-01,2,1
"Bourke St - Spencer St (North)",2020-07-01 02:00:00,2020-07-01,2,25
"RMIT Bld 80 - 445 Swanston Street",2020-07-01 02:00:00,2020-07-01,2,NA
"Flinders La-Swanston St (West) Temporary",2020-07-01 02:00:00,2020-07-01,2,NA
"RMIT Building 14",2020-07-01 02:00:00,2020-07-01,2,15
"380 Elizabeth St",2020-07-01 02:00:00,2020-07-01,2,66
"La Trobe St (North)",2020-07-01 02:00:00,2020-07-01,2,23
"231 Bourke St",2020-07-01 02:00:00,2020-07-01,2,19
"Royal Pde - Grattan St",2020-07-01 02:00:00,2020-07-01,2,2
